Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=5633/6400 (88.0%) | best=0.03165547848 | fearate=1 | iter=61 | np=56 | elapsed=4146.9s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=6448/6400 (100.0%) | best=5.87881769e-05 | fearate=1 | iter=75 | np=55 | elapsed=4740.1s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=6408/6400 (100.0%) | best=0.02920975533 | fearate=1 | iter=75 | np=55 | elapsed=4717.8s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=6434/6400 (100.0%) | best=3.597584067e-05 | fearate=1 | iter=75 | np=55 | elapsed=4737.3s
[progress] OPMWADE P21 repeat=7/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.0001842384978 | fearate=1 | iter=4 | np=157 | elapsed=669.2s
[progress] OPMWADE P21 repeat=7/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.06619535577 | fearate=1 | iter=4 | np=157 | elapsed=670.4s
[progress] OPMWADE P21 repeat=7/8 | W3:conflict_single_objective | nfes=935/6400 (14.6%) | best=0.0001025341924 | fearate=1 | iter=4 | np=156 | elapsed=688.9s
[progress] OPMWADE P21 repeat=7/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.000111329775 | fearate=1 | iter=9 | np=130 | elapsed=1203.2s
[progress] OPMWADE P21 repeat=7/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.05670680587 | fearate=1 | iter=9 | np=130 | elapsed=1205.7s
[progress] OPMWADE P21 repeat=7/8 | W3:conflict_single_objective | nfes=1658/6400 (25.9%) | best=9.660870323e-05 | fearate=1 | iter=9 | np=129 | elapsed=1221.6s
